ResponseId,PROLIFIC_PID,State,UpperMidwest,D_parkfreq,D_posterbuyer,D_parkfreq_posterbuyer,D_parkfreq_posterbuyer_uppermidwest,Q1_park_usage,Q1_n_park_usage,Q2_park_activities_1,Q2_n_park_activities_1,Q2_park_activities_2,Q2_n_park_activities_2,Q2_park_activities_3,Q2_n_park_activities_3,Q2_park_activities_4,Q2_n_park_activities_4,Q2_park_activities_5,Q2_n_park_activities_5,Q2_park_activities_6,Q2_n_park_activities_6,Q2_park_activities_7,Q2_n_park_activities_7,Q2_park_activities_8,Q2_n_park_activities_8,Q2_park_activities_9,Q2_n_park_activities_9,Q3_buy_local_apparel,Q3_n_buy_local_apparel,Q4_buy_local_brands,Q4_n_buy_local_brands,Q5_buy_posters,Q5_n_buy_posters,Q6_drink_alcohol,Q6_n_drink_alcohol,Q7_drink_coffee_tea,Q7_n_drink_coffee_tea,Q8_brand_loyalty,Q8_n_brand_loyalty
R_XKRazYSK2O2xKdX,5c7070519f9392000150023c,IL,0,0 ,0 ,0 ,0 ,About once per month,3,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,About once per month,3,Never,1,Never,1,More than once per week,6,Somewhat loyal,2
R_25tP9jreko7iHGb,60fc5e06147233cbaf0d59e8,IL,0,0 ,1 ,0 ,0 ,Once in a few months or longer,2,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,2-3 per year,3,Never,1,Several times per month,4,Somewhat loyal,2
R_DVpX867lHv4RnJT,60fcec5f448d6d34a22bcafb,IA,0,1 ,0 ,0 ,0 ,More than once per week,6,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Somewhere to go before or after a meal at a local restaurant,1,Not selected,0,Not selected,0,Once in a few months or longer,2,About once per week,5,Never,1,Never,1,More than once per week,6,Highly loyal,1
R_31bgKfmliDzltUw,60dbf6f5a1694ed71ee0fd7f,OH,0,0 ,0 ,0 ,0 ,About once per month,3,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,About once per month,3,Never,1,Once in a few months or longer,2,Once in a few months or longer,2,Depends upon the product/service,4
R_3KSzocKUm0pkKzh,60bec98ec93bac9b5a1d1786,IL,0,1 ,0 ,0 ,0 ,More than once per week,6,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,Never,1,Once in a few months or longer,2,More than once per week,6,Depends upon the product/service,4
R_3EaK5RyQoJIBQ5w,5f1703a31ea06d025b729ad9,IL,0,0 ,0 ,0 ,0 ,About once per month,3,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Several times per month,4,Never,1,Never,1,About once per week,5,Somewhat loyal,2
R_2ykAtZ3c260HAqZ,60193321d10f4e02eed1ccf2,WI,1,0 ,0 ,0 ,0 ,About once per month,3,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Somewhere to go before or after a meal at a local restaurant,1,Someplace to go while I drink my coffee,1,Not selected,0,Several times per month,4,Several times per month,4,Never,1,Once in a few months or longer,2,More than once per week,6,Somewhat loyal,2
R_25FTKrnASLbwzmM,61247491151682b679e31db0,IL,0,0 ,1 ,0 ,0 ,Never,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,I don't go to the park,1,Never,1,Once in a few months or longer,2,1 per year,2,Once in a few months or longer,2,More than once per week,6,Somewhat loyal,2
R_1injemG22AlATW6,611319d711690a0a7059c63b,MN,1,0 ,1 ,0 ,0 ,Once in a few months or longer,2,Running/walking,1,Biking,1,Not selected,0,Not selected,0,Spending time with family/pets,1,Somewhere to go before or after a beer/cocktail at a local bar or restaurant,1,Somewhere to go before or after a meal at a local restaurant,1,Someplace to go while I drink my coffee,1,Not selected,0,Once in a few months or longer,2,About once per month,3,1 per year,2,More than once per week,6,More than once per week,6,Somewhat loyal,2
R_10BgbxXPHOxAKe2,6111a51d55bcdc127d626390,NC,0,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Not selected,0,Biking,1,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,Never,1,Never,1,Once in a few months or longer,2,About once per month,3,Not loyal,3
R_8df5MefGPoTFIfT,610ca88b5792d4c4eb2e98e1,MI,1,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Not selected,0,Not selected,0,Not selected,0,Playing team sports,1,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,Never,1,Never,1,Several times per month,4,Somewhat loyal,2
R_2OHJUmidntUs0oU,60ad9bb50498f3a88f8f4c4f,IL,0,0 ,0 ,0 ,0 ,Never,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,I don't go to the park,1,Once in a few months or longer,2,About once per month,3,Never,1,Never,1,More than once per week,6,Depends upon the product/service,4
R_3gS1rRGXASuNLWS,5e6bba5459a3bd17473d4d6a,IL,0,0 ,1 ,0 ,0 ,About once per month,3,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,2-3 per year,3,About once per month,3,More than once per week,6,Somewhat loyal,2
R_31WXuEEIZUBkmnr,6151d31b87f9d831c3c3993b,MO,0,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Not selected,0,Biking,1,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,More than once per week,6,Never,1,About once per week,5,Never,1,Highly loyal,1
R_2t7L9K5yd06A3Vn,581fce42429ef50001ac4fc1,OH,0,0 ,1 ,0 ,0 ,Several times per month,4,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,About once per month,3,Once in a few months or longer,2,2-3 per year,3,About once per month,3,Several times per month,4,Depends upon the product/service,4
R_1HkvwZPNUr3Zn7Z,600673836848dc9fb0e79785,IL,0,0 ,0 ,0 ,0 ,Several times per month,4,Running/walking,1,Biking,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,Never,1,Several times per month,4,More than once per week,6,Depends upon the product/service,4
R_1Nbu6pMz5d878H3,6100b94f1750b9db274684c7,IL,0,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Not selected,0,Not selected,0,Not selected,0,Playing team sports,1,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,Never,1,Several times per month,4,About once per week,5,Highly loyal,1
R_1F2pjvXzS0r6K6M,612855e8ed6080b01a10ed54,MI,1,0 ,1 ,0 ,0 ,About once per month,3,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Somewhere to go before or after a meal at a local restaurant,1,Someplace to go while I drink my coffee,1,Not selected,0,Once in a few months or longer,2,About once per month,3,1 per year,2,Once in a few months or longer,2,More than once per week,6,Depends upon the product/service,4
R_32RNQqExhTabNSe,610ad9de7928e140edf063f8,IN,0,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,About once per month,3,Never,1,Once in a few months or longer,2,More than once per week,6,Somewhat loyal,2
R_8vw1OAzoXvn4qMV,60b83826821417f8e484a207,OH,0,1 ,0 ,0 ,0 ,About once per week,5,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Somewhere to go before or after a beer/cocktail at a local bar or restaurant,1,Somewhere to go before or after a meal at a local restaurant,1,Someplace to go while I drink my coffee,1,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,Never,1,About once per month,3,More than once per week,6,Somewhat loyal,2
R_ZsGSoxqET3TI2gp,58cefdb030c4cf0001ceb3ac,NE,0,0 ,0 ,0 ,0 ,About once per month,3,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,Once in a few months or longer,2,Never,1,Once in a few months or longer,2,About once per month,3,Somewhat loyal,2
R_Z8cZPkLVPnRDdrX,614fff0ee955434ed89cdd6a,ND,1,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Someplace to go while I drink my coffee,1,Not selected,0,Never,1,Never,1,Never,1,More than once per week,6,About once per month,3,Depends upon the product/service,4
R_ZwaMxxLM3qqzqZX,5f1fc57dae86001f4dff12ee,IA,0,0 ,0 ,0 ,0 ,Once in a few months or longer,2,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,About once per month,3,About once per month,3,Never,1,Never,1,More than once per week,6,Somewhat loyal,2
R_3pnDv5C40MfYd3N,5d8d5cc4c83a770013213a84,OH,0,0 ,0 ,0 ,0 ,About once per month,3,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Never,1,About once per month,3,Never,1,Once in a few months or longer,2,More than once per week,6,Depends upon the product/service,4
R_1o5sAXjWbVs4t9I,61535bd45997429e396cd1ac,NE,0,1 ,1 ,1 ,0 ,About once per week,5,Running/walking,1,Not selected,0,Not selected,0,Not selected,0,Spending time with family/pets,1,Not selected,0,Not selected,0,Not selected,0,Not selected,0,Once in a few months or longer,2,Once in a few months or longer,2,1 per year,2,Never,1,More than once per week,6,Depends upon the product/service,4
