response_id,prolific_id,freq_park_usage,park_run_walk,park_biking,park_skiing,park_team_sports,park_family_pets,park_before_after_bar,park_before_after_meal,park_drink_coffee,park_never_go,freq_buy_local_apparel,freq_buy_local_brands,freq_buy_posters,freq_drink_alcohol,freq_drink_coffee_tea,brand_loyalty
R_1gdcDGu7pgwh9yQ,5c6dc6e3f238400001941e1a,0,0,0,0,0,0,0,0,0,1,1,4,1,6,6,2
R_2dKOBPV7XPhXMbg,61077a7111364eabfdcf14c2,0,1,0,0,1,0,0,0,0,0,1,3,2,4,6,2
R_3NP0iqLcr7AADf1,612f9c9c481afebc3164e623,0,0,0,0,0,0,0,1,1,0,1,3,2,4,4,4
R_RDGbpVwQSPMpqrD,60b49cb1dc5470789edd23fe,0,1,0,0,0,0,0,0,1,0,2,1,1,2,6,2
R_2zqeGkyiRye6T2D,60b5afaa6e6e7872693249b6,1,1,1,0,0,0,0,0,0,0,1,4,1,4,1,4
R_1PYkAwarIqtMXxg,614e6cb7ae405c4deb45b906,0,1,0,0,0,0,0,0,0,0,2,3,1,5,6,4
R_2c8BofxQ9nIJIUT,5f2a12f5837dd81e5881b7cc,0,0,0,0,0,1,0,0,0,0,1,3,1,1,6,2
R_1FKZaXvkEtJyrMs,5e6813ada1c2de09bc51d9b2,0,1,0,0,0,0,0,0,0,0,1,2,1,6,6,2
R_RrDLOjzTOIRU9Ox,5d1acc6eb0c5a8001786de55,1,1,1,0,0,1,0,0,0,0,2,2,1,4,6,3
R_12lMEM5lTXYqu7b,5af1c24d5bbd0b00015eca8b,0,0,1,1,0,1,0,0,0,0,2,2,1,2,3,4
R_31bdWWjvif4BgIf,5f121091e95fdc03b5e897d0,1,1,0,0,1,1,0,0,0,0,1,2,1,2,2,2
R_9QR5Z7qIGICUIBH,6163ca357c6bfd73eae6f8ee,0,0,0,0,0,1,0,1,1,0,2,4,1,1,1,3
R_24tILg7l3ruiusq,5e0047b3a99550c62bda2dd6,1,1,0,0,0,1,0,1,1,0,2,5,4,1,6,4
R_1F9fH2dmRKaVcVa,5d7ff85ffec5620017b07c40,0,0,0,0,0,1,0,0,0,0,1,2,1,5,6,2
R_11ZxLNZQeaxEBNN,616edcc90d9facce036066c1,0,0,0,0,0,0,0,0,0,1,2,5,1,2,6,1
R_2YJsDIjsxGEOs4x,611b38dea7f1754225fa39bf,0,1,0,0,0,1,0,0,0,0,2,2,1,1,1,4
R_6hRZOj08WEdhIVH,5d6ef023cfe0a400198f911e,1,1,0,0,0,1,0,0,0,0,2,3,2,6,6,2
R_u2IJGQOZpzZIkCt,5bdf513338109a0001f474c8,0,0,0,0,0,1,0,1,0,0,2,3,2,1,1,2
R_ue7D3Gn7J44jlKh,5ec866acd314a03483aa2634,0,1,1,0,0,1,0,0,0,0,2,2,1,1,6,2
R_Y3uuo7TyoJWCFkB,614eb607ccaec331d3796d91,0,1,0,0,0,0,0,1,0,0,2,2,1,2,1,2
R_2QtXR5GTZRjYteF,610ec695503dab0fa9492d61,1,1,1,0,0,0,0,0,0,0,4,4,2,3,6,2
R_2D2BKY5oiiLYMhO,55b9a9b0fdf99b6906d2aba4,0,1,0,0,0,0,0,0,0,0,1,3,1,3,6,2
R_2sbsVO5U4q6ogw9,6144834d136ed7f27d2dbe60,1,1,0,0,0,1,0,0,0,0,2,5,1,2,6,2
R_2tbdpdndV8v1kuZ,57975e774d107800016dd38d,0,1,0,0,0,0,0,0,0,0,2,3,1,2,4,4
R_111SgJPHiQppHa0,5ff4997ab11116b6e41946c1,0,1,0,0,0,0,1,1,0,0,3,4,1,4,4,2
R_33C0E9oBuYQ1mtW,5e379ad54dd79670c8572f86,1,1,0,0,0,1,0,1,0,0,1,4,1,2,6,2
R_UrvI23T63yrueVH,5d8108c0a6d2bf001afdb2d9,0,1,0,0,0,1,0,0,0,0,2,3,1,1,4,3
R_3nPF4StXJy6VqQn,601b86cdd8db935594656c1a,0,1,0,0,0,1,0,0,0,0,3,5,1,2,1,4
R_1llqRcJ5p6nsBhT,5e9f657265908b0fcacb1839,0,1,0,0,0,0,0,0,0,0,2,3,2,6,5,3
R_2Ynxn4hVLkrrKMl,5f5353ff017c5965165df065,0,1,0,0,0,0,0,0,0,0,2,2,1,2,2,2
R_UfkR3bVk0ar5pEl,6152b8943ef5c73934ed350a,0,1,0,0,0,0,0,0,0,0,2,2,1,5,6,2
R_37SBV2x6VPf8M8N,5f6a3e3dbd67e60c184e9bb5,0,1,0,0,0,1,0,1,0,0,2,2,1,1,6,4
R_5pCGrd93aKR2qv7,58ce29970b6a0e00011d8276,0,1,0,0,0,1,0,0,0,0,2,2,1,3,1,4
R_3KBdtBSsZwZuvDg,6110dacef7e301c696882271,0,0,1,0,0,1,0,0,0,0,1,2,2,1,6,2
R_5aJwzNxkT2PKDDz,5a135875074b1900012527a9,0,1,0,0,0,0,0,0,0,0,1,1,2,1,6,2
R_30eJKuAX2R8QZj6,5a6d5ae19d65ec00017e9bae,1,1,1,0,0,1,0,0,0,0,2,3,2,3,6,2
R_RrTLn5D44IljYOJ,60fd82c6bba5b0d80f9b495f,0,0,0,0,0,1,0,1,0,0,1,2,1,1,6,2
R_1dAX4RunVmfehSS,6121e36192d8fd0203910a30,0,0,0,0,0,0,0,0,0,1,2,3,1,1,6,2
R_2CemAeF4y7NgneS,60f6ce6de6cf393bcde0c14d,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4
R_2pMJbvXghDJKbcx,5ddb58c61f179ea91098c6c1,0,1,0,0,0,1,0,0,0,0,2,2,1,2,6,2
R_2xXmbgacPXxPuzq,5f4d07b4fae27694de8f5af1,0,0,0,0,0,1,0,0,1,0,1,3,1,3,6,2
R_73UOA9PmOaAhXDr,5dd74005794e106ec44df770,1,1,0,0,0,1,0,1,0,0,1,3,1,2,6,4
R_6stik6ct9YovMc1,5e6844d12062a1012a278976,0,0,1,0,1,0,0,0,0,0,2,2,1,2,1,1
R_ykEMPo0qE289nxv,5eb24b26f30ede1a6ae46c14,1,1,0,0,0,1,1,1,0,0,1,2,1,2,2,3
R_339yop8JgUYMraj,60bc8860d04f4ac80d319a5c,0,1,0,0,0,1,0,0,0,0,2,2,1,6,6,3
R_10SGjZHhlodXSqp,60ba2ffd080107de026041d3,0,1,0,0,0,1,0,0,0,0,2,3,2,5,6,2
R_3EgUF0I3sROUcyf,616aa4dd60a1b352bf22040b,0,1,0,0,0,0,0,1,0,0,2,2,3,1,4,3
R_3Msa3w08BMXG2td,6171125c1d572c106f10824e,1,1,0,0,0,1,0,1,0,0,3,4,3,3,6,4
R_11WLeFfCaKTu46V,602c42fcd6ab3e5033c45951,1,1,1,0,0,1,1,1,0,0,2,3,1,6,1,4
R_rjpJVokwsSPqdDH,6026adf0704fd23a5dc0ee32,1,0,1,0,0,1,0,0,0,0,2,6,1,2,6,2
R_ukxET7Z6XT8awbT,60ffd5a3e2648d7c3d7d2c53,0,0,0,0,0,1,0,0,1,0,4,4,5,3,2,3
R_3lL03AUtktL7v8y,5f59963070a31e1f2bb54722,0,1,0,0,0,1,0,0,0,0,1,2,1,2,6,4
R_2wS7N63FAhZDhy1,6119bdc932d9ebe82ea581e1,0,1,0,0,0,1,0,0,0,0,1,2,2,2,6,3
R_3K2kQuEAJRk2t0J,610a30b7a800f225aa297939,1,0,0,0,0,1,1,1,0,0,2,2,3,5,4,4
R_D1ZSxMYdx5UhnB7,61517db6a7589569521b2356,0,0,0,0,0,1,0,0,0,0,2,2,1,1,1,1
R_3fDg875Ip53WY4S,60a51f35a0db48f89d6f3a72,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2
R_1hW3ISwyne0o7DL,60c1bb3a19116b4408b8c5de,0,1,1,0,0,1,0,0,0,0,1,2,2,1,6,2
R_prEb71fMTr9AjT3,60fd2df8081f57baddf31c73,0,1,0,0,0,1,0,0,0,0,1,2,3,1,6,4
R_2fy4RUk3XlvnV6V,5d847ac9be4b0b00188463d7,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,4
R_2Y36KGPLjjwnQaK,6152b51328e74caf1118a077,0,1,0,0,0,0,0,1,0,0,2,2,1,6,5,2
R_1FzTnRtzbwh2TUw,615170652e506c1cdef806c0,1,0,1,0,0,0,0,0,0,0,1,1,1,3,6,4
R_vCePkDDBwkdBOgx,5ddbd6e518beb6b1e1de0326,0,0,0,0,0,0,0,1,0,0,2,4,1,1,1,4
R_115v2k9Mfaj0qj1,55f5946a32af74001017047b,1,1,1,0,0,1,0,1,0,0,1,5,1,1,6,1
R_1K7uBKTgR25Neqt,60ec382554a4738b3985bce1,1,1,0,0,1,1,0,0,0,0,2,2,2,2,6,2
R_2xzSakSnKcg71R4,5e606b1eaf84e83c728748d7,1,1,0,0,0,1,0,0,0,0,2,4,3,4,6,4
R_2SviNbV1QV8UctQ,6160db8b2995742dd0ee9211,0,1,0,0,1,1,0,0,0,0,2,4,1,2,3,2
